Name;Interpret;Album;Wertung
Begins and Ends in You;Aaron Spiro;Sing;6
That Man;Caro Emerald;Deleted Scenes from the Cutting Room Floor;1
Just One Dance;Caro Emerald;Deleted Scenes from the Cutting Room Floor;0
Riviera Life;Caro Emerald;Deleted Scenes from the Cutting Room Floor;7
Back It Up;Caro Emerald;Deleted Scenes from the Cutting Room Floor;1
The Other Woman;Caro Emerald;Deleted Scenes from the Cutting Room Floor;3
Absolutely Me;Caro Emerald;Deleted Scenes from the Cutting Room Floor;1
You Don't Love Me;Caro Emerald;Deleted Scenes from the Cutting Room Floor;6
Dr. Wanna Do;Caro Emerald;Deleted Scenes from the Cutting Room Floor;4
Stuck;Caro Emerald;Deleted Scenes from the Cutting Room Floor;9
I Know That He's Mine;Caro Emerald;Deleted Scenes from the Cutting Room Floor;6
A Night Like This;Caro Emerald;Deleted Scenes from the Cutting Room Floor;2
The Lipstick On His Collar Doesn't Seem to Match Mine;Caro Emerald;Deleted Scenes from the Cutting Room Floor;2
We Are Loved;David Crowder Band;Church Music;8
My! My! Time Flies!;Enya;And Winter Came;4
Orinoco Flow;Enya;The Very Best of Enya;5
Over the Rainbow;Israel Kamakawiwo'ole;Over the Rainbow - Single;3
Broken Strings;James Morrison & Nelly Furtado;Songs for You, Truths for Me;4
107;Josh Garrels;Lost Animals;9
Indiana Sky;Josh Garrels;Lost Animals;3
Decision;Josh Garrels;Over Oceans;4
SISU;Josh Garrels;Over Oceans;9
Train Song;Josh Garrels;Over Oceans;7
Ready to Fly;Judy Bailey;Ready to Fly;8
Extreme Ways (The Bourne Ultimatum);Moby;Extreme Ways (Bourne's Ultimatum) - Single;2
Say It Right;Nelly Furtado;Loose (Deluxe Version);6
All Good Things (Come to an End);Nelly Furtado;Loose (Deluxe Version);6
Manos Al Aire (Album Version);Nelly Furtado;Manos Al Aire - EP;3
Long Hot Summer Days;Sara Watkins;Sara Watkins;5
My Friend;Sara Watkins;Sara Watkins;4
Any Old Time;Sara Watkins;Sara Watkins;6
Reborn;Stryper;Reborn;5
Und;Xavier Naidoo;Telegramm Für X;2
Bitte Frag' Mich Nicht;Xavier Naidoo;Telegramm Für X;2
Dieser Weg;Xavier Naidoo;Telegramm Für X;1
Zeilen Aus Gold;Xavier Naidoo;Telegramm Für X;3
Oh My Lady;Xavier Naidoo;Telegramm Für X;5
Seelenheil;Xavier Naidoo;Telegramm Für X;5
Wo Komm Ich Her;Xavier Naidoo;Telegramm Für X;4
Bist Du Am Leben Interessiert;Xavier Naidoo;Telegramm Für X;3
Abgrund;Xavier Naidoo;Telegramm Für X;3
Bist Du Aufgewacht;Xavier Naidoo;Telegramm Für X;7
Sie Sind Nicht Dafür;Xavier Naidoo;Telegramm Für X;3
In Deine Haende;Xavier Naidoo;Telegramm Für X;9
Du Bist Wie Ein Segen;Xavier Naidoo;Telegramm Für X;2
Was Wir Alleine Nicht Schaffen;Xavier Naidoo;Telegramm Für X;7
Ich Trage Dich;Zeichen Der Zeit;David Generation;7
Fürchte Dich Nicht;Zeichen Der Zeit;David Generation;4
Worte;Zeichen Der Zeit;David Generation;8
Steine Ins Rollen;Zeichen Der Zeit;David Generation;3
Wir Marschieren;Zeichen Der Zeit;David Generation;4
Es Ist Vorbei;Zeichen Der Zeit;David Generation;1
Specialize In Love;Zeichen Der Zeit;David Generation;0
Du Wirst Mich Finden;Zeichen Der Zeit;David Generation;4
Wenn Liebe Nicht Mehr Reicht;Zeichen Der Zeit;David Generation;1
The Truth;Zeichen Der Zeit;David Generation;2
U Said;Zeichen Der Zeit;David Generation;6
What If;Zeichen Der Zeit;David Generation;0
Gott Ist Anders;Zeichen Der Zeit;David Generation;5
Jesus Sagt;Zeichen Der Zeit;David Generation;9
Außer Deiner Liebe;Zeichen Der Zeit;David Generation;3
Can't Stand the Silence;Rea Garvey;Can't Stand the Silence (Special Version) - Single;9
